rutaImagen,etiqueta,estado,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000051.jpg,pliers,exito,2.630398238182492,5.687178625797475,8.321473109682984,9.566270307025741,9.999999999401007,9.999578785343123,9.999999999707898
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000052.jpg,pliers,exito,2.7815500073243804,6.92662304375353,9.050582091132773,9.790097821130345,9.999999999978721,-9.999908402464294,-9.99999999994411
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000053.jpg,pliers,exito,2.6692457228807704,5.510112075941327,9.08599911747274,9.852135788944047,9.999999999969893,9.999690491495521,9.99999999999961
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000054.jpg,pliers,exito,2.901866706419483,6.969427418074777,9.582026936556701,9.735263608025189,9.999999999959966,9.999899590622856,-9.999999999985723
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000055.jpg,pliers,exito,2.6054225999381573,5.478933260447609,8.348907244746092,9.193980150015385,9.999999998266599,-9.999758789958555,-9.999999996840724
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000056.jpg,pliers,exito,2.5417856516762107,5.166411380296063,9.499407054175087,8.961074511293395,9.999999997999653,9.988879530819048,-9.999999999904306
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000057.jpg,pliers,exito,2.6513951913924605,6.169477344683296,8.139866637926996,9.70136725346264,9.999999999732339,-9.999808211495969,9.999999999757621
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000058.jpg,pliers,exito,2.840261008587323,8.181638118151573,9.989053390968396,9.99980497982446,-10.0,-9.999999997322984,-10.0
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000059.jpg,pliers,exito,2.7277525411225287,5.622458501357906,8.91018656587301,9.37582433768166,9.999999999162458,9.997862249675382,9.99999999994862
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000060.jpg,pliers,exito,2.5961477161919353,5.264864185549359,9.819354190953044,9.950219831413452,9.999999999998694,9.99997566228918,9.999999999999808
